Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
0.05,40,0.00189586,0.00189581,5999.92,-0.00675732,45.0017,6.71973,160.167
0.1,39.9999,0.00379176,0.00379153,5999.85,-0.0133494,45.0035,6.52637,159.52
0.15,39.9998,0.00568769,0.00568717,5999.78,-0.0197888,45.0052,6.35059,158.836
0.2,39.9997,0.00758366,0.00758274,5999.71,-0.0260616,45.007,6.15723,158.11
0.25,39.9996,0.00947966,0.00947822,5999.64,-0.0321669,45.0087,5.96387,157.337
0.3,39.9994,0.0113757,0.0113736,5999.58,-0.038117,45.0104,5.78809,156.51
0.35,39.9992,0.0132718,0.013269,5999.51,-0.0438975,45.0122,5.59473,155.621
0.4,39.9989,0.0151679,0.0151642,5999.45,-0.0495202,45.0139,5.41895,154.661
0.45,39.9987,0.017064,0.0170594,5999.4,-0.0549707,45.0157,5.22559,153.62
0.5,39.9984,0.0189602,0.0189545,5999.34,-0.0602601,45.0174,5.0498,152.487
0.55,39.998,0.0208565,0.0208495,5999.29,-0.0653863,45.0191,4.87402,151.248
0.6,39.9977,0.0227527,0.0227445,5999.23,-0.0703346,45.0209,4.68066,149.889
0.65,39.9973,0.0246491,0.0246393,5999.19,-0.0751152,45.0226,4.50488,148.399
0.7,39.9969,0.0265454,0.0265341,5999.14,-0.0797253,45.0244,4.3291,146.762
0.75,39.9965,0.0284418,0.0284289,5999.09,-0.0841624,45.0261,4.15332,144.963
0.8,39.996,0.0303383,0.0303235,5999.05,-0.0884236,45.0279,3.97754,142.993
0.85,39.9955,0.0322347,0.0322181,5999.01,-0.0925177,45.0296,3.81934,140.84
0.9,39.995,0.0341313,0.0341126,5998.97,-0.0964418,45.0314,3.66113,138.496
0.95,39.9945,0.0360279,0.0360071,5998.93,-0.100204,45.0331,3.52051,135.958
1,39.994,0.0379245,0.0379014,5998.89,-0.103802,45.0349,3.37988,133.224
1.05,39.9934,0.0398212,0.0397957,5998.85,-0.107242,45.0367,3.25684,130.306
1.1,39.9929,0.0417179,0.04169,5998.82,-0.110525,45.0384,3.13379,127.215
1.15,39.9923,0.0436146,0.0435841,5998.78,-0.113658,45.0402,3.02832,123.977
1.2,39.9917,0.0455115,0.0454782,5998.75,-0.116649,45.042,2.94043,120.617
1.25,39.9911,0.0474083,0.0473723,5998.71,-0.119498,45.0437,2.85254,117.166
1.3,39.9904,0.0493052,0.0492662,5998.68,-0.122216,45.0455,2.78223,113.666
