Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
0,70,0,0,6800,0,20,20,151.159
0.05,70,0.00103436,0.00284187,6799.91,-0.00156177,20.0003,20,151.092
0.1,70,0.00206873,0.0056837,6799.83,-0.00312329,20.0006,20,151.025
0.15,70,0.0031031,0.00852549,6799.74,-0.00468454,20.0009,20,150.957
0.2,69.9999,0.00413747,0.0113672,6799.65,-0.00624552,20.0012,20,150.89
0.25,69.9999,0.00517184,0.0142089,6799.57,-0.00780623,20.0015,20,150.822
0.3,69.9998,0.00620621,0.0170506,6799.48,-0.00936668,20.0018,20,150.754
0.35,69.9998,0.00724059,0.0198922,6799.39,-0.0109269,20.0021,20,150.685
0.4,69.9997,0.00827497,0.0227338,6799.31,-0.0124868,20.0024,20,150.616
0.45,69.9996,0.00930934,0.0255753,6799.22,-0.0140464,20.0027,20,150.547
0.5,69.9995,0.0103437,0.0284168,6799.14,-0.0156058,20.003,20,150.478
0.55,69.9994,0.0113781,0.0312583,6799.05,-0.0171648,20.0033,20,150.408
0.6,69.9993,0.0124125,0.0340997,6798.96,-0.0187236,20.0036,20,150.339
0.65,69.9992,0.0134469,0.0369411,6798.88,-0.0202822,20.0039,20,150.268
0.7,69.9991,0.0144813,0.0397824,6798.79,-0.0218404,20.0042,20,150.198
0.75,69.999,0.0155157,0.0426237,6798.7,-0.0233984,20.0045,20,150.127
0.8,69.9988,0.01655,0.045465,6798.62,-0.0249561,20.0048,20,150.056
0.85,69.9987,0.0175844,0.0483062,6798.53,-0.0265134,20.0051,20,149.985
0.9,69.9985,0.0186188,0.0511473,6798.44,-0.0280705,20.0054,20,149.913
0.95,69.9983,0.0196532,0.0539884,6798.36,-0.0296274,20.0058,20,149.842
1,69.9981,0.0206876,0.0568295,6798.27,-0.0311839,20.0061,20,149.769
1.05,69.998,0.021722,0.0596706,6798.19,-0.0327401,20.0064,20,149.697
1.1,69.9978,0.0227565,0.0625116,6798.1,-0.0342961,20.0067,20,149.624
1.15,69.9976,0.0237909,0.0653525,6798.01,-0.0358517,20.007,20,149.551
1.2,69.9973,0.0248253,0.0681934,6797.93,-0.037407,20.0073,20,149.478
1.25,69.9971,0.0258597,0.0710343,6797.84,-0.0389621,20.0076,20,149.404
1.3,69.9969,0.0268941,0.0738751,6797.75,-0.0405168,20.0079,20,149.33
1.35,69.9966,0.0279285,0.0767159,6797.67,-0.0420713,20.0083,20,149.256
1.4,69.9964,0.0289629,0.0795567,6797.58,-0.0436254,20.0086,20,149.181
1.45,69.9961,0.0299974,0.0823974,6797.5,-0.0451792,20.0089,20,149.107
1.5,69.9958,0.0310318,0.0852381,6797.41,-0.0467327,20.0092,20,149.031
1.55,69.9956,0.0320662,0.0880787,6797.32,-0.0482859,20.0095,20,148.956
1.6,69.9953,0.0331007,0.0909193,6797.24,-0.0498388,20.0098,20,148.88
1.65,69.995,0.0341351,0.0937598,6797.15,-0.0513914,20.0102,20,148.804
1.7,69.9947,0.0351695,0.0966003,6797.06,-0.0529436,20.0105,20,148.728
1.75,69.9943,0.036204,0.0994407,6796.98,-0.0544956,20.0108,20,148.651
1.8,69.994,0.0372384,0.102281,6796.89,-0.0560472,20.0111,20,148.574
1.85,69.9937,0.0382729,0.105122,6796.81,-0.0575985,20.0114,20,148.496
1.9,69.9933,0.0393073,0.107962,6796.72,-0.0591495,20.0118,20,148.419
1.95,69.993,0.0403418,0.110802,6796.63,-0.0607001,20.0121,20,148.341
2,69.9926,0.0413762,0.113642,6796.55,-0.0622504,20.0124,20,148.262
2.05,69.9922,0.0424107,0.116483,6796.46,-0.0638004,20.0127,20,148.184
2.1,69.9918,0.0434451,0.119323,6796.38,-0.06535,20.0131,20,148.105
2.15,69.9915,0.0444796,0.122163,6796.29,-0.0668993,20.0134,20,148.025
2.2,69.9911,0.0455141,0.125003,6796.2,-0.0684483,20.0137,20,147.946
2.25,69.9906,0.0465485,0.127843,6796.12,-0.0699969,20.0141,20,147.866
2.3,69.9902,0.047583,0.130683,6796.03,-0.0715452,20.0144,20,147.786
2.35,69.9898,0.0486175,0.133523,6795.95,-0.0730932,20.0147,20,147.705
2.4,69.9894,0.049652,0.136363,6795.86,-0.0746407,20.015,20,147.624
2.45,69.9889,0.0506865,0.139203,6795.77,-0.076188,20.0154,20,147.543
2.5,69.9885,0.051721,0.142043,6795.69,-0.0777349,20.0157,20,147.461
2.55,69.988,0.0527554,0.144882,6795.6,-0.0792814,20.016,20,147.379
2.6,69.9875,0.0537899,0.147722,6795.52,-0.0808276,20.0164,20,147.297
2.65,69.987,0.0548244,0.150562,6795.43,-0.0823734,20.0167,20,147.214
2.7,69.9865,0.0558589,0.153401,6795.34,-0.0839188,20.0171,20,147.131
2.75,69.986,0.0568935,0.156241,6795.26,-0.0854639,20.0174,20,147.048
2.8,69.9855,0.057928,0.159081,6795.17,-0.0870087,20.0177,20,146.964
2.85,69.985,0.0589625,0.16192,6795.09,-0.088553,20.0181,20,146.88
2.9,69.9845,0.059997,0.16476,6795,-0.090097,20.0184,20,146.795
2.95,69.9839,0.0610315,0.167599,6794.91,-0.0916406,20.0187,20,146.71
3,69.9834,0.0620661,0.170439,6794.83,-0.0931838,20.0191,20,146.625
3.05,69.9828,0.0631006,0.173278,6794.74,-0.0947267,20.0194,20,146.54
3.1,69.9823,0.0641351,0.176117,6794.66,-0.0962691,20.0198,20,146.454
3.15,69.9817,0.0651697,0.178957,6794.57,-0.0978112,20.0201,20,146.368
3.2,69.9811,0.0662042,0.181796,6794.49,-0.0993529,20.0205,20,146.281
3.25,69.9805,0.0672387,0.184635,6794.4,-0.100894,20.0208,20,146.194
3.3,69.9799,0.0682733,0.187474,6794.31,-0.102435,20.0212,20,146.107
3.35,69.9793,0.0693079,0.190313,6794.23,-0.103976,20.0215,20,146.019
3.4,69.9787,0.0703424,0.193152,6794.14,-0.105516,20.0218,20,145.931
3.45,69.978,0.071377,0.195991,6794.06,-0.107055,20.0222,20,145.843
3.5,69.9774,0.0724116,0.19883,6793.97,-0.108595,20.0225,20,145.754
3.55,69.9768,0.0734461,0.201669,6793.89,-0.110134,20.0229,20,145.665
3.6,69.9761,0.0744807,0.204508,6793.8,-0.111672,20.0232,20,145.575
3.65,69.9754,0.0755153,0.207347,6793.71,-0.11321,20.0236,20,145.485
3.7,69.9748,0.0765499,0.210186,6793.63,-0.114748,20.024,20,145.395
3.75,69.9741,0.0775845,0.213025,6793.54,-0.116285,20.0243,20,145.304
3.8,69.9734,0.0786191,0.215863,6793.46,-0.117822,20.0247,20,145.213
3.85,69.9727,0.0796537,0.218702,6793.37,-0.119358,20.025,20,145.122
3.9,69.972,0.0806883,0.221541,6793.28,-0.120894,20.0254,20,145.03
3.95,69.9712,0.0817229,0.224379,6793.2,-0.12243,20.0257,20,144.937
4,69.9705,0.0827575,0.227218,6793.11,-0.123965,20.0261,20,144.845
4.05,69.9698,0.0837921,0.230057,6793.03,-0.125499,20.0265,20,144.752
4.1,69.969,0.0848268,0.232895,6792.94,-0.127034,20.0268,20,144.658
4.15,69.9683,0.0858614,0.235733,6792.86,-0.128567,20.0272,20,144.564
4.2,69.9675,0.086896,0.238572,6792.77,-0.130101,20.0275,20,144.47
4.25,69.9667,0.0879307,0.24141,6792.68,-0.131634,20.0279,20,144.376
4.3,69.9659,0.0889653,0.244249,6792.6,-0.133166,20.0283,20,144.28
4.35,69.9651,0.09,0.247087,6792.51,-0.134698,20.0286,20,144.185
4.4,69.9643,0.0910346,0.249925,6792.43,-0.136229,20.029,20,144.089
4.45,69.9635,0.0920693,0.252763,6792.34,-0.13776,20.0294,20,143.993
4.5,69.9627,0.093104,0.255601,6792.26,-0.139291,20.0297,20,143.896
4.55,69.9619,0.0941386,0.258439,6792.17,-0.140821,20.0301,20,143.799
4.6,69.961,0.0951733,0.261278,6792.09,-0.142351,20.0305,20,143.702
4.65,69.9602,0.096208,0.264116,6792,-0.14388,20.0308,20,143.604
4.7,69.9593,0.0972427,0.266954,6791.91,-0.145408,20.0312,20,143.505
4.75,69.9585,0.0982774,0.269791,6791.83,-0.146936,20.0316,20,143.407
4.8,69.9576,0.0993121,0.272629,6791.74,-0.148464,20.032,20,143.307
4.85,69.9567,0.100347,0.275467,6791.66,-0.149991,20.0323,20,143.208
